Sales Date,Car Make,Car Model,Model Year,Base Price,Discount,Final Price,Accessories Cost,Total Sale Value,Customer Name,Salesperson,Region,Payment Method,Sales Channel,Warranty Years
2021-06-29,Toyota,Corolla,2021,47493,2318.76,45174.24,2693,47867.24,Katherine Franklin,Lisa Brown,East,Credit Card,Third-Party Dealer,2
2022-04-30,Nissan,Altima,2023,61307,7680.26,53626.74,1761,55387.74,Kayla Krueger,Jerry Rodriguez,East,Credit Card,Online,1
2024-07-24,Nissan,Altima,2018,17649,1745.87,15903.130000000001,3386,19289.13,Luis Miller,John Dillon,South,Finance,In-Store,3
2020-08-07,BMW,5 Series,2024,75785,1383.03,74401.97,1039,75440.97,Haley Hopkins,Lauren Miller,West,Finance,Online,2
2024-08-26,Nissan,Altima,2021,41421,1594.15,39826.85,1186,41012.85,Phyllis Walker,Connie Lang,East,Credit Card,In-Store,2
2022-08-01,Toyota,Highlander,2021,56758,6988.93,49769.07,4238,54007.07,Jonathan Abbott,Jason Dudley,North,Cash,Third-Party Dealer,2
2023-07-19,BMW,X5,2017,16344,768.5,15575.5,909,16484.5,Jessica Mcbride,Tiffany Robinson,North,Finance,In-Store,5
2021-08-06,Honda,CR-V,2021,27110,1247.51,25862.49,1626,27488.49,Laura Estrada,Emily Hernandez,West,Credit Card,In-Store,3
2023-01-10,Mercedes-Benz,C-Class,2019,67882,2509.64,65372.36,1198,66570.36,Harold Young,Lori Henderson MD,South,Lease,In-Store,1
2022-06-15,Chevrolet,Equinox,2024,30887,2941.27,27945.73,3272,31217.73,Ruth Wood,Justin Brown,East,Cash,Online,4
2021-05-28,Nissan,Sentra,2024,48468,1440.8,47027.2,1756,48783.2,Jennifer Rodriguez,Adam Monroe,East,Lease,Third-Party Dealer,2
2023-09-18,Ford,Explorer,2023,76734,4474.64,72259.36,4030,76289.36,Ryan Elliott,Jay Rodriguez,East,Lease,In-Store,2
2023-08-12,Honda,CR-V,2017,49985,3199.59,46785.41,1271,48056.41,David Beltran,Penny Lawrence,West,Lease,In-Store,4
2023-12-07,Mercedes-Benz,C-Class,2021,40465,1881.14,38583.86,757,39340.86,Walter Curry,Ashley Mendez,East,Lease,In-Store,3
2022-01-12,Ford,Escape,2019,41094,5566.48,35527.520000000004,1874,37401.520000000004,Brandon Williams,Robert Johnson,South,Cash,Third-Party Dealer,1
2024-05-26,Mercedes-Benz,GLC,2020,45392,3894.88,41497.12,951,42448.12,Leslie Maddox,Christine Coleman,East,Lease,In-Store,3
2023-03-28,Nissan,Altima,2024,24809,619.68,24189.32,2143,26332.32,Alicia Chapman,Jonathan Yates,North,Lease,In-Store,4
2021-04-20,Chevrolet,Silverado,2019,32380,3680.48,28699.52,3288,31987.52,Andrea Scott,Michelle Hernandez,East,Cash,In-Store,2
2021-09-15,Mercedes-Benz,E-Class,2018,27551,3139.77,24411.23,4064,28475.23,Mrs. Amy Maldonado DVM,Mr. Travis Ramirez Jr.,South,Credit Card,Third-Party Dealer,4
2022-01-28,Mercedes-Benz,GLE,2023,56951,4196.14,52754.86,1919,54673.86,Andrew Decker,Daniel Franklin,West,Lease,Online,1
2025-02-19,Hyundai,Elantra,2020,73803,2453.6,71349.4,3566,74915.4,Kevin Frazier,Marilyn Neal,South,Credit Card,In-Store,4
2021-07-17,Hyundai,Tucson,2024,28263,2588.3,25674.7,2498,28172.7,Heidi Johnson,Brian Anthony,West,Finance,Online,3
2021-03-13,Honda,Civic,2015,38379,673.33,37705.67,3583,41288.67,Kelsey Nelson,Ann Neal,West,Lease,Online,4
2023-05-16,Toyota,Corolla,2023,63751,8243.51,55507.49,808,56315.49,Rebecca Robinson,Jeffrey Phillips,North,Cash,In-Store,3
2020-06-08,Toyota,Camry,2017,38641,4281.74,34359.26,2054,36413.26,Michael Campbell MD,Matthew Cole,South,Cash,In-Store,2
2023-08-25,BMW,5 Series,2018,31448,4458.09,26989.91,4969,31958.91,Tiffany Grant,John Aguirre,North,Lease,Third-Party Dealer,2
2022-09-01,Nissan,Sentra,2022,58558,5956.97,52601.03,2000,54601.03,Marie Johnston,Wayne Le,South,Lease,In-Store,5
2021-01-07,Honda,Civic,2016,63427,7182.02,56244.979999999996,519,56763.979999999996,Jessica Taylor,Kimberly Mcdonald,South,Lease,Third-Party Dealer,4
2022-09-03,Chevrolet,Malibu,2015,20032,2241.83,17790.17,3306,21096.17,Adam Shah,Ralph Gonzalez,West,Finance,Online,1
2023-10-05,Chevrolet,Malibu,2017,61398,7140.31,54257.69,4899,59156.69,James Patel,Andrea Johnson,North,Finance,Online,2
2024-02-12,Hyundai,Elantra,2015,31685,2852.43,28832.57,1057,29889.57,Sarah Little,Nathaniel Simmons,East,Cash,Online,4
2023-02-04,Honda,Accord,2022,51515,4760.51,46754.49,2724,49478.49,David Ross,Nicole Simmons,West,Finance,Third-Party Dealer,3
2023-03-04,BMW,X3,2022,28729,1754.99,26974.01,4962,31936.01,Jessica Kemp,Kelly Pennington,East,Lease,In-Store,5
2023-05-04,Chevrolet,Equinox,2024,52199,7132.05,45066.95,963,46029.95,Jennifer Ramos,Peter Ruiz,East,Finance,In-Store,5
2022-06-06,Nissan,Sentra,2023,59862,7192.48,52669.520000000004,709,53378.520000000004,Michelle Neal,Stephen Nelson,West,Cash,In-Store,5
2025-02-21,Ford,Explorer,2022,47095,5426.18,41668.82,512,42180.82,Richard Warren,Daniel Coleman,North,Credit Card,Online,1
2020-08-07,Mercedes-Benz,C-Class,2019,63178,4154.16,59023.84,556,59579.84,Debra Davis,Benjamin Munoz,North,Lease,Online,3
2025-02-06,Mercedes-Benz,E-Class,2019,44045,5434.32,38610.68,4769,43379.68,Brad Sherman,Cheryl Andrews,West,Cash,Third-Party Dealer,3
2023-03-21,Toyota,Camry,2021,21423,535.61,20887.39,2279,23166.39,Matthew Wilson,Lisa Brown,East,Cash,Online,5
2020-11-02,Chevrolet,Equinox,2017,64114,7235.52,56878.479999999996,4680,61558.479999999996,Alyssa Bradley,Kyle Carr,South,Credit Card,In-Store,2
2022-08-20,Nissan,Rogue,2020,78657,5295.76,73361.24,2778,76139.24,Jennifer Bradley,April Larson,West,Credit Card,Online,4
